project;merge commit;class;method;Method; Precision; Exceptions; SdgCreated; CgNodes; CgEdges; SdgNodes; SdgEdges; Time (ms); Memory (M); HasSourcedAndSink; HasLeftToRightVio; HasRightToLeftVio; TotalVios; InstVios; LineVios; DetailedLineVios; Left; Right;LOI;Original Sample;result
okhttp;1151c9853ccc3c9c3211c613b9b845b925f8c6a6;GzipSource;consumeHeader;void com.squareup.okhttp.internal.bytes.GzipSource.consumeHeader(Deadline); INSTANCE_BASED; No; Yes;51;194;7723;60498;126282;78643; Yes; Yes; No;21;21;1; [void com.squareup.okhttp.internal.bytes.GzipSource.consumeHeader(com.squareup.okhttp.internal.bytes.Deadline) (line 112) -> void com.squareup.okhttp.internal.bytes.GzipSource.consumeHeader(com.squareup.okhttp.internal.bytes.Deadline) (line 138)]; [112]; [138];No;Roberto;FALSE POSITIVE
okhttp;35166168529bd27281685e56a0a122eff44460e9;OkHttpClient;copyWithDefaults;OkHttpClient com.squareup.okhttp.OkHttpClient.copyWithDefaults(); INSTANCE_BASED; No; Yes;181;242;9516;64248;107684;83886; No; -; -; -; -; -; -; [277, 293]; [287];No;DeSouza;TRUE NEGATIVE
storm;bd1f5c54752f67b484a83c26667331234234d3a3;KafkaSpout;emitTupleIfNotEmitted;boolean org.apache.storm.kafka.spout.KafkaSpout.emitTupleIfNotEmitted(org.apache.kafka.clients.consumer.ConsumerRecord); INSTANCE_BASED; No; Yes;328;832;48171;557713;148164;89128; Yes; Yes; No;16;16;4; [boolean org.apache.storm.kafka.spout.KafkaSpout.emitTupleIfNotEmitted(org.apache.kafka.clients.consumer.ConsumerRecord) (line 306) -> boolean org.apache.storm.kafka.spout.KafkaSpout.emitTupleIfNotEmitted(org.apache.kafka.clients.consumer.ConsumerRecord) (line 316), boolean org.apache.storm.kafka.spout.KafkaSpout.emitTupleIfNotEmitted(org.apache.kafka.clients.consumer.ConsumerRecord) (line 306) -> boolean org.apache.storm.kafka.spout.KafkaSpout.emitTupleIfNotEmitted(org.apache.kafka.clients.consumer.ConsumerRecord) (line 319), boolean org.apache.storm.kafka.spout.KafkaSpout.emitTupleIfNotEmitted(org.apache.kafka.clients.consumer.ConsumerRecord) (line 307) -> boolean org.apache.storm.kafka.spout.KafkaSpout.emitTupleIfNotEmitted(org.apache.kafka.clients.consumer.ConsumerRecord) (line 316), boolean org.apache.storm.kafka.spout.KafkaSpout.emitTupleIfNotEmitted(org.apache.kafka.clients.consumer.ConsumerRecord) (line 307) -> boolean org.apache.storm.kafka.spout.KafkaSpout.emitTupleIfNotEmitted(org.apache.kafka.clients.consumer.ConsumerRecord) (line 319)]; [305, 306, 307, 312]; [316, 319];No;Leuson;FALSE POSITIVE
storm;ad2be678831b3b060229fd936e3908110162b7ac;KafkaSpoutConfig;toString;String org.apache.storm.kafka.spout.KafkaSpoutConfig.toString(); INSTANCE_BASED; No; Yes;1777;6132;1673079;134004941;6978472;300867; No; -; -; -; -; -; -; []; [515, 516, 521, 522];Yes;Leuson;FALSE NEGATIVE
storm;ad2be678831b3b060229fd936e3908110162b7ac;KafkaSpoutConfig;KafkaSpoutConfig;void org.apache.storm.kafka.spout.KafkaSpoutConfig.KafkaSpoutConfig(org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder); INSTANCE_BASED; No; Yes;1777;6132;1673079;134004941;6978472;300867; No; -; -; -; -; -; -; []; [435, 436, 437, 438, 439, 440, 441, 430, 431];No;Mining;TRUE NEGATIVE
elasticsearch;36884807b3cc9d660db4da062275c7fdbec8ba67;SimpleIndexQueryParserTests;setup;void org.elasticsearch.index.query.SimpleIndexQueryParserTests.setup(); INSTANCE_BASED; No; Yes;3080;12820;2306878;187392443;12073726;300797; No; -; -; -; -; -; -; [217]; [208];No;DeSouza;TRUE NEGATIVE
elasticsearch;3764b3ff800c94293aba0bb0fa18c7df80a764f7;RestShardsAction;getTableWithHeader;Table org.elasticsearch.rest.action.cat.RestShardsAction.getTableWithHeader(RestRequest); INSTANCE_BASED; No; Yes;1364;5235;292151;13611574;498253;131200; No; -; -; -; -; -; -; []; [112, 113];No;DeSouza;TRUE NEGATIVE
elasticsearch;3764b3ff800c94293aba0bb0fa18c7df80a764f7;RestIndicesAction;getTableWithHeader;Table org.elasticsearch.rest.action.cat.RestIndicesAction.getTableWithHeader(RestRequest); INSTANCE_BASED; No; Yes;1364;5301;299873;14759578;521638;131072; No; -; -; -; -; -; -; []; [144, 147, 150, 153, 138, 141];No;DeSouza;TRUE NEGATIVE
elasticsearch;3764b3ff800c94293aba0bb0fa18c7df80a764f7;RestNodesAction;getTableWithHeader;Table org.elasticsearch.rest.action.cat.RestNodesAction.getTableWithHeader(RestRequest); INSTANCE_BASED; No; Yes;1364;5258;294842;13935483;496992;131072; No; -; -; -; -; -; -; []; [153, 154, 156, 157, 158, 159];No;DeSouza;TRUE NEGATIVE
elasticsearch;0404db65e3497452886173957729c8e82cfd4a03;ESSingleNodeTestCase;newNode;org.elasticsearch.node.Node org.elasticsearch.test.ESSingleNodeTestCase.newNode(); INSTANCE_BASED; No; Yes;3291;18871;2240203;172292727;14050346;244683; No; -; -; -; -; -; -; [171]; [173, 174];No;DeSouza;TRUE NEGATIVE
elasticsearch;f3d63095dbcc985e24162fbac4ee0d6914dc757d;KuromojiAnalysisTests;createAnalysisService;org.elasticsearch.index.analysis.AnalysisService org.elasticsearch.index.analysis.KuromojiAnalysisTests.createAnalysisService(); INSTANCE_BASED; No; Yes;6031;32078;3599005;317705184;33414087;407627; Yes; Yes; No;19433;26;4; [org.elasticsearch.index.analysis.AnalysisService org.elasticsearch.index.analysis.KuromojiAnalysisTests.createAnalysisService() (line 196) -> org.elasticsearch.index.analysis.AnalysisService org.elasticsearch.index.analysis.KuromojiAnalysisTests.createAnalysisService() (line 207), org.elasticsearch.index.analysis.AnalysisService org.elasticsearch.index.analysis.KuromojiAnalysisTests.createAnalysisService() (line 197) -> org.elasticsearch.index.analysis.AnalysisService org.elasticsearch.index.analysis.KuromojiAnalysisTests.createAnalysisService() (line 207), org.elasticsearch.index.analysis.AnalysisService org.elasticsearch.index.analysis.KuromojiAnalysisTests.createAnalysisService() (line 198) -> org.elasticsearch.index.analysis.AnalysisService org.elasticsearch.index.analysis.KuromojiAnalysisTests.createAnalysisService() (line 207), org.elasticsearch.index.analysis.AnalysisService org.elasticsearch.index.analysis.KuromojiAnalysisTests.createAnalysisService() (line 206) -> org.elasticsearch.index.analysis.AnalysisService org.elasticsearch.index.analysis.KuromojiAnalysisTests.createAnalysisService() (line 207)]; [196, 197, 198, 199, 200, 201, 202, 206]; [204, 207];No;Mining;FALSE POSITIVE
elasticsearch;f3d63095dbcc985e24162fbac4ee0d6914dc757d;CommonGramsTokenFilterFactoryTests;testQueryModeCommonGramsAnalysis;void org.elasticsearch.index.analysis.commongrams.CommonGramsTokenFilterFactoryTests.testQueryModeCommonGramsAnalysis(); INSTANCE_BASED; No; Yes;5819;29146;3630369;397021717;65034632;241659; Yes; No; Yes;58;24;1; [void org.elasticsearch.index.analysis.commongrams.CommonGramsTokenFilterFactoryTests.testQueryModeCommonGramsAnalysis() (line 228) -> void org.elasticsearch.index.analysis.commongrams.CommonGramsTokenFilterFactoryTests.testQueryModeCommonGramsAnalysis() (line 229)]; [229]; [226, 228];No;Mining;FALSE POSITIVE
elasticsearch;f3d63095dbcc985e24162fbac4ee0d6914dc757d;SynonymsAnalysisTest;testSynonymsAnalysis;void org.elasticsearch.index.analysis.synonyms.SynonymsAnalysisTest.testSynonymsAnalysis(); INSTANCE_BASED; No; Yes;6080;32221;3602195;315527032;34361612;397777; Yes; Yes; Yes;19640;47;4; [void org.elasticsearch.index.analysis.synonyms.SynonymsAnalysisTest.testSynonymsAnalysis() (line 65) -> void org.elasticsearch.index.analysis.synonyms.SynonymsAnalysisTest.testSynonymsAnalysis() (line 75), void org.elasticsearch.index.analysis.synonyms.SynonymsAnalysisTest.testSynonymsAnalysis() (line 66) -> void org.elasticsearch.index.analysis.synonyms.SynonymsAnalysisTest.testSynonymsAnalysis() (line 75), void org.elasticsearch.index.analysis.synonyms.SynonymsAnalysisTest.testSynonymsAnalysis() (line 67) -> void org.elasticsearch.index.analysis.synonyms.SynonymsAnalysisTest.testSynonymsAnalysis() (line 75), void org.elasticsearch.index.analysis.synonyms.SynonymsAnalysisTest.testSynonymsAnalysis() (line 75) -> void org.elasticsearch.index.analysis.synonyms.SynonymsAnalysisTest.testSynonymsAnalysis() (line 76)]; [65, 66, 67, 68, 69, 70, 71, 76]; [73, 75];No;DeSouza;FALSE POSITIVE
elasticsearch;59cb67c7bd0ab6311115b20954e013412b676b29;MultiMatchQueryBuilder;doXContent;void org.elasticsearch.index.query.MultiMatchQueryBuilder.doXContent(XContentBuilder, Params); INSTANCE_BASED; No; Yes;3739;23210;2533643;212970240;13310140;140177; No; -; -; -; -; -; -; [306, 367]; [];Yes;Mining;FALSE NEGATIVE
elasticsearch;59cb67c7bd0ab6311115b20954e013412b676b29;NestedInnerQueryParseSupport;setPathLevel;void org.elasticsearch.index.query.support.NestedInnerQueryParseSupport.setPathLevel(); INSTANCE_BASED; No; Yes;143;313;14499;88842;98641;78643; No; -; -; -; -; -; -; [193, 195, 197, 200]; [199];No;DeSouza;TRUE NEGATIVE
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;MetaDataCreateIndexService;createIndex;void org.elasticsearch.cluster.metadata.MetaDataCreateIndexService.createIndex(org.elasticsearch.action.admin.indices.create.CreateIndexClusterStateUpdateRequest, org.elasticsearch.action.ActionListener); INSTANCE_BASED; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [315]; [304, 305, 309, 310, 312, 346, 300];No;Mining;-
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;TransportShardBulkAction;update;org.elasticsearch.common.collect.Tuple org.elasticsearch.action.bulk.TransportShardBulkAction.update(org.elasticsearch.cluster.metadata.IndexMetaData, org.elasticsearch.action.bulk.BulkShardRequest, org.elasticsearch.index.shard.IndexShard, long[], org.elasticsearch.index.VersionType[], org.elasticsearch.index.translog.Translog$Location, int, org.elasticsearch.action.bulk.BulkItemRequest); INSTANCE_BASED; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [268, 255]; [244, 249, 266, 254];No;Mining;-
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;TransportUpdateAction;shardOperation;void org.elasticsearch.action.update.TransportUpdateAction.shardOperation(org.elasticsearch.action.update.UpdateRequest, org.elasticsearch.action.ActionListener, int); INSTANCE_BASED; No; Yes;7849;34855;6210700;658021055;80861602;349516; No; -; -; -; -; -; -; [224, 185, 254]; [192, 249, 250];No;Mining;TRUE NEGATIVE
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;TransportDeleteAction;executeDeleteRequestOnPrimary;elasticsearch.action.support.replication.TransportWriteAction$WriteResult org.elasticsearch.action.delete.TransportDeleteAction.executeDeleteRequestOnPrimary(org.elasticsearch.action.delete.DeleteRequest, org.elasticsearch.index.shard.IndexShard); INSTANCE_BASED; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [136]; [140];No;Mining;-
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;DocWriteResponse;readFrom;void org.elasticsearch.action.DocWriteResponse.readFrom(StreamInput); INSTANCE_BASED; No; Yes;310;783;25149;166226;232249;78643; No; -; -; -; -; -; -; [129]; [130];No;DeSouza;TRUE NEGATIVE
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;DocWriteResponse;writeTo;void org.elasticsearch.action.DocWriteResponse.writeTo(StreamOutput); INSTANCE_BASED; No; Yes;310;783;25149;166226;232249;78643; No; -; -; -; -; -; -; [140]; [141];Yes;Mining;FALSE NEGATIVE
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;DocWriteResponse;toXContent;XContentBuilder org.elasticsearch.action.DocWriteResponse.toXContent(XContentBuilder, Params); INSTANCE_BASED; No; Yes;310;783;25149;166226;232249;78643; No; -; -; -; -; -; -; [163, 164, 165, 166]; [160];Yes;DeSouza;FALSE NEGATIVE
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;ReplicationOperation;execute;void org.elasticsearch.action.support.replication.ReplicationOperation.execute(); INSTANCE_BASED; No; Yes;2784;11718;1609942;95677892;5083809;201509; Yes; Yes; No;12;12;3; [void org.elasticsearch.action.support.replication.ReplicationOperation.execute() (line 98) -> void org.elasticsearch.action.support.replication.ReplicationOperation.execute() (line 99), void org.elasticsearch.action.support.replication.ReplicationOperation.execute() (line 98) -> void org.elasticsearch.action.support.replication.ReplicationOperation.execute() (line 113), void org.elasticsearch.action.support.replication.ReplicationOperation.execute() (line 98) -> void org.elasticsearch.action.support.replication.ReplicationOperation.execute() (line 119)]; [98, 109]; [113, 98, 99, 101, 119, 108, 110];No;Mining;FALSE POSITIVE
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;TransportReplicationAction;doRun;void org.elasticsearch.action.support.replication.TransportReplicationAction$AsyncReplicaAction.doRun(); INSTANCE_BASED; No; Yes;22;23;763;3799;104889;78643; Yes; No; No;0;0;0; []; [455, 458, 460]; [457, 459];Yes;Mining;FALSE NEGATIVE
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;TransportIndexAction;executeIndexRequestOnPrimary;org.elasticsearch.action.support.replication.TransportWriteAction$WriteResult org.elasticsearch.action.index.TransportIndexAction.executeIndexRequestOnPrimary(org.elasticsearch.action.index.IndexRequest, org.elasticsearch.index.shard.IndexShard, org.elasticsearch.cluster.action.index.MappingUpdatedAction); INSTANCE_BASED; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [196]; [201];No;Mining;-
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;IndexSettings;IndexSettings;void org.elasticsearch.index.IndexSettings.IndexSettings(org.elasticsearch.cluster.metadata.IndexMetaData, org.elasticsearch.common.settings.Settings, java.util.function.Predicate<java.lang.String>, org.elasticsearch.common.settings.IndexScopedSettings); INSTANCE_BASED; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [238]; [246, 269];No;Mining;-
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;InternalEngine;InternalEngine;void org.elasticsearch.index.engine.InternalEngine.InternalEngine(org.elasticsearch.index.engine.EngineConfig); INSTANCE_BASED; No; Yes;3830;17427;3011597;275881914;23338383;334719; Yes; Yes; No;209;6;1; [void org.elasticsearch.index.engine.InternalEngine.<init>(org.elasticsearch.index.engine.EngineConfig) (line 134) -> void org.elasticsearch.index.engine.InternalEngine.<init>(org.elasticsearch.index.engine.EngineConfig) (line 162)]; [134]; [161, 162, 163, 164];No;Mining;FALSE POSITIVE
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;InternalEngineTests;testRecoverFromForeignTranslog;void org.elasticsearch.index.engine.InternalEngineTests.testRecoverFromForeignTranslog(); INSTANCE_BASED; No; Yes;5379;28422;3234000;334259724;38578876;185571; No; -; -; -; -; -; -; [2091]; [2124];No;Mining;TRUE NEGATIVE
orientdb;a5ce3bcc0a1d196745c575ad6602019f7a6b86f8;Orient;startup;Orient com.orientechnologies.orient.core.Orient.startup(); INSTANCE_BASED; No; Yes;549;1516;83451;2332298;268698;89129; Yes; Yes; Yes;33;8;2; [com.orientechnologies.orient.core.Orient com.orientechnologies.orient.core.Orient.startup() (line 158) -> com.orientechnologies.orient.core.Orient com.orientechnologies.orient.core.Orient.startup() (line 191), com.orientechnologies.orient.core.Orient com.orientechnologies.orient.core.Orient.startup() (line 191) -> com.orientechnologies.orient.core.Orient com.orientechnologies.orient.core.Orient.startup() (line 158)]; [191]; [158];No;Roberto;FALSE POSITIVE
cloud-slang;20bac30d9bd76569aa6a4fa1e8261c1a9b5e6f76;SlangImpl;getAllEventTypes;Set io.cloudslang.lang.api.SlangImpl.getAllEventTypes(); INSTANCE_BASED; No; Yes;711;2562;114918;2694769;155023;94371; Yes; Yes; No;174;6;3; [java.util.Set io.cloudslang.lang.api.SlangImpl.getAllEventTypes() (line 116) -> java.util.Set io.cloudslang.lang.api.SlangImpl.getAllEventTypes() (line 123), java.util.Set io.cloudslang.lang.api.SlangImpl.getAllEventTypes() (line 116) -> java.util.Set io.cloudslang.lang.api.SlangImpl.getAllEventTypes() (line 124), java.util.Set io.cloudslang.lang.api.SlangImpl.getAllEventTypes() (line 116) -> java.util.Set io.cloudslang.lang.api.SlangImpl.getAllEventTypes() (line 125)]; [116]; [123, 124, 125];Yes;Leuson;TRUE POSITIVE
java-faker;ca42fcfaf45cae1754c58e02e1d5d2a58ec03561;Faker;Faker;void com.github.javafaker.Faker.Faker(Locale, Random); INSTANCE_BASED; No; Yes;3479;21788;3581825;489413827;77769977;449417; Yes; Yes; Yes;19;14;4; [void com.github.javafaker.Faker.<init>(java.util.Locale, java.util.Random) (line 59) -> void com.github.javafaker.Faker.<init>(java.util.Locale, java.util.Random) (line 70), void com.github.javafaker.Faker.<init>(java.util.Locale, java.util.Random) (line 69) -> void com.github.javafaker.Faker.<init>(java.util.Locale, java.util.Random) (line 70), void com.github.javafaker.Faker.<init>(java.util.Locale, java.util.Random) (line 70) -> void com.github.javafaker.Faker.<init>(java.util.Locale, java.util.Random) (line 59), void com.github.javafaker.Faker.<init>(java.util.Locale, java.util.Random) (line 70) -> void com.github.javafaker.Faker.<init>(java.util.Locale, java.util.Random) (line 69)]; [69, 59]; [70];No;Guilherme;FALSE POSITIVE
spring-boot;fdd3f12ee0f92ac18844c08bf71df39feebb6673;AutoConfigurationReportLoggingInitializer;logAutoConfigurationReport;void org.springframework.boot.autoconfigure.logging.AutoConfigurationReportLoggingInitializer.logAutoConfigurationReport(boolean); INSTANCE_BASED; No; Yes;437;1358;152114;6961827;247812;110100; No; -; -; -; -; -; -; [114]; [110];Yes;DeSouza;FALSE NEGATIVE
spring-boot;ea8107b6a53fa60b5f23b33e1b6d2e88bb60133c;UndertowEmbeddedServletContainerFactory;createDeploymentManager;DeploymentManager org.springframework.boot.context.embedded.undertow.UndertowEmbeddedServletContainerFactory.createDeploymentManager(ServletContextInitializer); INSTANCE_BASED; No; Yes;232;519;23754;1834576;127245;89128; No; -; -; -; -; -; -; [357, 358, 359, 360, 345, 361, 362]; [364];No;DeSouza;TRUE NEGATIVE
spring-boot;2d4e68a9777601bfb8309c94d8b74bc21be80ad1;TomcatEmbeddedServletContainerFactory;customizeConnector;void org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory.customizeConnector(Connector); INSTANCE_BASED; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [240, 241, 242, 243, 244, 246, 247, 248, 249]; [228];No;DeSouza;-
spring-boot;074771ec125dd407af0282b92960e9e9e3377e84;SpringBootServletInitializer;createRootApplicationContext;WebApplicationContext org.springframework.boot.context.web.SpringBootServletInitializer.createRootApplicationContext(ServletContext); INSTANCE_BASED; No; Yes;1216;9559;562316;43335381;1904968;235929; No; -; -; -; -; -; -; [87]; [88];No;DeSouza;TRUE NEGATIVE
spring-boot;958a0a45f164601d01cb706c19f22ed3e25eff56;MongoProperties;builder;com.mongodb.MongoClientOptions.Builder org.springframework.boot.autoconfigure.MongoProperties.builder(com.mongodb.MongoClientOptions); INSTANCE_BASED; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [272]; [261, 262, 263, 264, 265, 266, 267, 268, 271];No;DeSouza;-
spring-boot;af20dc6cc45c032573413c401f9f73aa75371744;ExplodedArchive;getUrl;URL org.springframework.boot.loader.archive.ExplodedArchive.getUrl(); INSTANCE_BASED; No; Yes;109;159;5391;34510;97244;78643; No; -; -; -; -; -; -; []; [];No;Mining;TRUE NEGATIVE
spring-boot;af20dc6cc45c032573413c401f9f73aa75371744;ExplodedArchiveTests;getUrl;void org.springframework.boot.loader.archive.ExplodedArchiveTests.getUrl(); INSTANCE_BASED; No; Yes;78;124;3665;22005;96950;83886; No; -; -; -; -; -; -; []; [];No;Mining;TRUE NEGATIVE
spring-boot;3444ebbc05b99a164474c14d6a6784f749514428;SpringBootServletInitializer;createRootApplicationContext;WebApplicationContext org.springframework.boot.context.web.SpringBootServletInitializer.createRootApplicationContext(ServletContext); INSTANCE_BASED; No; Yes;1216;9559;562316;43335381;1880069;241172; Yes; No; No;0;0;0; []; [99]; [121, 123];No;DeSouza;TRUE NEGATIVE
